Id Localidad,Nombre,Id Provincia,Nombre_Normalizado,ZonaId,Descripcion
8781,"KM. 45 ,APEADERO FCGU ,PUENTE",2,"KM. 45 ,APEADERO FCGU ,PUENTE",2,2 - BUENOS AIRES
8782,PRESIDENTE DERQUI,2,PRESIDENTE DERQUI,2,2 - BUENOS AIRES
8783,TORO,2,TORO,2,2 - BUENOS AIRES
8784,BARTOLOME MITRE,2,BARTOLOME MITRE,2,2 - BUENOS AIRES
8785,BORGES,2,BORGES,2,2 - BUENOS AIRES
8789,BARRIO VILLA PRIMAVERA,2,BARRIO VILLA PRIMAVERA,2,2 - BUENOS AIRES
8791,ACASSUSO SUCURDAL,2,ACASSUSO SUCURDAL,2,2 - BUENOS AIRES
8792,BARRIO BOATING CLUB,2,BARRIO BOATING CLUB,2,2 - BUENOS AIRES
8793,BARRIO GENERAL PUEYRREDON,2,BARRIO GENERAL PUEYRREDON,2,2 - BUENOS AIRES
8794,MONTE VIEJO,2,MONTE VIEJO,2,2 - BUENOS AIRES
8795,"SAN ISIDRO ,PTDO. SAN ISIDRO",2,"SAN ISIDRO ,PTDO. SAN ISIDRO",2,2 - BUENOS AIRES
8797,VILLA LARGA,2,VILLA LARGA,2,2 - BUENOS AIRES
8798,"DOCTOR ALBERT SCHWEITZER ,PARA",2,"DOCTOR ALBERT SCHWEITZER ,PARA",2,2 - BUENOS AIRES
8800,"BARRIO SAN JORGE ,PARTIDO SAN",2,"BARRIO SAN JORGE ,PARTIDO SAN",2,2 - BUENOS AIRES
8802,"VILLA DEL CARMEN ,SAN FERNANDO",2,"VILLA DEL CARMEN ,SAN FERNANDO",2,2 - BUENOS AIRES
8804,RIO PARANA GUAZU,2,RIO PARANA GUAZU,2,2 - BUENOS AIRES
8805,NUEVO PUERTO TIGRE,2,NUEVO PUERTO TIGRE,2,2 - BUENOS AIRES
8807,VILLA GRADAILI,2,VILLA GRADAILI,2,2 - BUENOS AIRES
8808,VILLA LA NATA,2,VILLA LA NATA,2,2 - BUENOS AIRES
8809,3 BOCAS,2,3 BOCAS,2,2 - BUENOS AIRES
8810,4 BOCAS,2,4 BOCAS,2,2 - BUENOS AIRES
8811,ARROYO ANGELITO,2,ARROYO ANGELITO,2,2 - BUENOS AIRES
8812,BOCA CARABELAS,2,BOCA CARABELAS,2,2 - BUENOS AIRES
8813,BOCA DE LA CRUZ COLORADA,2,BOCA DE LA CRUZ COLORADA,2,2 - BUENOS AIRES
8814,BOCA DEL ARROYO ESTUDIANTE,2,BOCA DEL ARROYO ESTUDIANTE,2,2 - BUENOS AIRES
8815,BOCA DEL TORO,2,BOCA DEL TORO,2,2 - BUENOS AIRES
8816,CANAL 1,2,CANAL 1,2,2 - BUENOS AIRES
8817,CANAL 2,2,CANAL 2,2,2 - BUENOS AIRES
8818,CANAL 3,2,CANAL 3,2,2 - BUENOS AIRES
8819,CANAL 4,2,CANAL 4,2,2 - BUENOS AIRES
8820,CANAL 5,2,CANAL 5,2,2 - BUENOS AIRES
8821,CANAL A,2,CANAL A,2,2 - BUENOS AIRES
8822,CANAL C,2,CANAL C,2,2 - BUENOS AIRES
8823,CANAL DE LA SERNA,2,CANAL DE LA SERNA,2,2 - BUENOS AIRES
8824,CANAL DEL ESTE,2,CANAL DEL ESTE,2,2 - BUENOS AIRES
8825,CANAL GOBERNADOR ARANA,2,CANAL GOBERNADOR ARANA,2,2 - BUENOS AIRES
8826,CANAL GOBERNADOR ARIAS,2,CANAL GOBERNADOR ARIAS,2,2 - BUENOS AIRES
8827,CANAL GOBERNADOR DE LA SERNA,2,CANAL GOBERNADOR DE LA SERNA,2,2 - BUENOS AIRES
8828,CANAL HAMBRIENTOS,2,CANAL HAMBRIENTOS,2,2 - BUENOS AIRES
8829,CANAL HONDA,2,CANAL HONDA,2,2 - BUENOS AIRES
8830,CANAL LAURENTINO COMAS,2,CANAL LAURENTINO COMAS,2,2 - BUENOS AIRES
8831,CANAL Nº 1,2,CANAL No 1,2,2 - BUENOS AIRES
8832,CANAL Nº 2,2,CANAL No 2,2,2 - BUENOS AIRES
8833,CANAL Nº 3º 4,2,CANAL No 3o 4,2,2 - BUENOS AIRES
8834,CANAL Nº 5,2,CANAL No 5,2,2 - BUENOS AIRES
8835,CANAL PICARDO,2,CANAL PICARDO,2,2 - BUENOS AIRES
8836,CANAL UNION,2,CANAL UNION,2,2 - BUENOS AIRES
8837,CANAL URION,2,CANAL URION,2,2 - BUENOS AIRES
8838,CANAL VILLANUEVA,2,CANAL VILLANUEVA,2,2 - BUENOS AIRES
8839,CHANA,2,CHANA,2,2 - BUENOS AIRES
8840,CUARTELES CARABELAS,2,CUARTELES CARABELAS,2,2 - BUENOS AIRES
8841,EL CORRENTOSO,2,EL CORRENTOSO,2,2 - BUENOS AIRES
8842,ESTACION FORESTAL DOMINGO FAUS,2,ESTACION FORESTAL DOMINGO FAUS,2,2 - BUENOS AIRES
8843,GUAZU Y MANZANO,2,GUAZU Y MANZANO,2,2 - BUENOS AIRES
8844,GUAZU Y NARANJO,2,GUAZU Y NARANJO,2,2 - BUENOS AIRES
8845,LA BARQUITA,2,LA BARQUITA,2,2 - BUENOS AIRES
8846,LAGUNA DE BORCHES,2,LAGUNA DE BORCHES,2,2 - BUENOS AIRES
8847,LAGUNA DE LA BARCA,2,LAGUNA DE LA BARCA,2,2 - BUENOS AIRES
8848,LAGUNA LAGUNITA,2,LAGUNA LAGUNITA,2,2 - BUENOS AIRES
8849,MENDEZ GRANDE,2,MENDEZ GRANDE,2,2 - BUENOS AIRES
8850,PARANA MINI,2,PARANA MINI,2,2 - BUENOS AIRES
8851,PAY CARABI,2,PAY CARABI,2,2 - BUENOS AIRES
8852,RECREO EL MARQUES,2,RECREO EL MARQUES,2,2 - BUENOS AIRES
8853,RIO BARCA GRANDE,2,RIO BARCA GRANDE,2,2 - BUENOS AIRES
8854,RIO CAPITAN,2,RIO CAPITAN,2,2 - BUENOS AIRES
8855,RIO CARABELAS,2,RIO CARABELAS,2,2 - BUENOS AIRES
8856,RIO CARABELAS GRANDES,2,RIO CARABELAS GRANDES,2,2 - BUENOS AIRES
8857,RIO CARAPACHAY,2,RIO CARAPACHAY,2,2 - BUENOS AIRES
8858,"RIO LUJAN ,TIGRE, PTDO. TIGRE",2,"RIO LUJAN ,TIGRE, PTDO. TIGRE",2,2 - BUENOS AIRES
8859,RIO PARANA DE LAS PALMAS,2,RIO PARANA DE LAS PALMAS,2,2 - BUENOS AIRES
